Month	Johore	Kedah	Kelantan	Malacca	N. Sembilan	Pahang	Penang	Perak	Selangor	Terengganu	P. Malaysia	Sabah	Sarawak	Sabah/Sarawak	MALAYSIA
2015-01	0.23	0.19	0.1	0.25	0.2	0.18	0.17	0.24	0.22	0.12	0.2	0.31	0.19	0.25	0.23
2015-02	0.25	0.26	0.1	0.31	0.25	0.2	0.2	0.27	0.26	0.11	0.22	0.25	0.17	0.21	0.22
2015-03	0.3	0.39	0.16	0.41	0.3	0.26	0.33	0.36	0.34	0.15	0.28	0.3	0.22	0.27	0.27
2015-04	0.35	0.42	0.22	0.46	0.34	0.3	0.39	0.37	0.36	0.22	0.32	0.35	0.25	0.31	0.31
2015-05	0.36	0.43	0.24	0.49	0.34	0.32	0.39	0.35	0.35	0.27	0.33	0.39	0.27	0.34	0.33
2015-06	0.35	0.39	0.2	0.47	0.33	0.31	0.38	0.37	0.36	0.25	0.33	0.36	0.28	0.32	0.32
2015-07	0.38	0.39	0.21	0.45	0.36	0.36	0.32	0.4	0.4	0.28	0.36	0.36	0.3	0.33	0.34
2015-08	0.39	0.37	0.24	0.42	0.38	0.4	0.28	0.43	0.42	0.35	0.39	0.41	0.34	0.38	0.38
2015-09	0.4	0.32	0.21	0.44	0.39	0.4	0.23	0.4	0.39	0.33	0.38	0.41	0.35	0.38	0.38
2015-10	0.4	0.32	0.23	0.39	0.36	0.4	0.2	0.36	0.36	0.37	0.38	0.45	0.36	0.41	0.39
2015-11	0.34	0.22	0.21	0.27	0.27	0.34	0.14	0.28	0.26	0.31	0.31	0.39	0.28	0.34	0.32
2015-12	0.28	0.19	0.17	0.22	0.2	0.28	0.12	0.27	0.26	0.23	0.26	0.33	0.26	0.3	0.28
2016-01	0.22	0.2	0.1	0.21	0.16	0.19	0.18	0.26	0.24	0.16	0.2	0.25	0.2	0.23	0.21
2016-02	0.22	0.24	0.1	0.26	0.2	0.19	0.22	0.26	0.26	0.14	0.2	0.2	0.17	0.19	0.19
2016-03	0.23	0.27	0.15	0.31	0.23	0.22	0.27	0.28	0.28	0.18	0.23	0.23	0.2	0.21	0.22
2016-04	0.25	0.25	0.19	0.31	0.23	0.23	0.28	0.27	0.28	0.19	0.24	0.26	0.21	0.24	0.24
2016-05	0.26	0.22	0.19	0.31	0.22	0.24	0.25	0.25	0.26	0.22	0.24	0.29	0.22	0.26	0.25
2016-06	0.28	0.21	0.19	0.29	0.23	0.26	0.22	0.28	0.27	0.22	0.26	0.34	0.26	0.31	0.28
2016-07	0.3	0.2	0.2	0.24	0.23	0.28	0.15	0.29	0.27	0.24	0.27	0.35	0.29	0.32	0.3
2016-08	0.34	0.23	0.22	0.26	0.24	0.3	0.14	0.32	0.3	0.26	0.3	0.36	0.31	0.33	0.32
2016-09	0.36	0.21	0.22	0.28	0.27	0.31	0.11	0.32	0.32	0.28	0.31	0.36	0.3	0.33	0.32
2016-10	0.37	0.22	0.22	0.29	0.26	0.3	0.11	0.28	0.28	0.31	0.3	0.35	0.28	0.32	0.31
2016-11	0.36	0.24	0.2	0.32	0.28	0.29	0.12	0.29	0.29	0.25	0.3	0.32	0.26	0.29	0.29
2016-12	0.33	0.22	0.18	0.29	0.24	0.25	0.14	0.3	0.3	0.22	0.27	0.29	0.26	0.27	0.27
2017-01	0.22	0.25	0.12	0.28	0.17	0.21	0.22	0.28	0.27	0.16	0.22	0.23	0.24	0.24	0.23
2017-02	0.24	0.29	0.11	0.31	0.25	0.19	0.24	0.28	0.32	0.15	0.24	0.22	0.23	0.23	0.23
2017-03	0.25	0.32	0.13	0.37	0.24	0.21	0.26	0.31	0.33	0.14	0.26	0.23	0.25	0.24	0.25
2017-04	0.28	0.31	0.15	0.38	0.26	0.24	0.26	0.34	0.35	0.15	0.27	0.24	0.27	0.26	0.26
2017-05	0.28	0.33	0.14	0.39	0.29	0.26	0.25	0.36	0.34	0.21	0.29	0.26	0.29	0.28	0.28
2017-06	0.3	0.34	0.16	0.35	0.27	0.28	0.27	0.38	0.33	0.22	0.29	0.27	0.31	0.29	0.29
2017-07	0.35	0.36	0.19	0.34	0.28	0.32	0.29	0.39	0.34	0.26	0.34	0.29	0.32	0.32	0.32
2017-08	0.37	0.37	0.22	0.33	0.27	0.32	0.27	0.36	0.35	0.31	0.32	0.31	0.31	0.32	0.32
2017-09	0.39	0.33	0.24	0.38	0.31	0.33	0.17	0.34	0.34	0.31	0.31	0.3	0.3	0.32	0.32
2017-10	0.44	0.36	0.28	0.43	0.35	0.38	0.22	0.35	0.34	0.35	0.36	0.32	0.34	0.36	0.36
2017-11	0.43	0.33	0.25	0.45	0.37	0.37	0.18	0.33	0.34	0.32	0.37	0.29	0.33	0.34	0.34
2017-12	0.42	0.32	0.24	0.46	0.36	0.35	0.18	0.3	0.33	0.28	0.36	0.26	0.31	0.33	0.33
2018-01	0.33	0.29	0.18	0.4	0.31	0.27	0.28	0.2	0.3	0.21	0.33	0.23	0.28	0.28	0.32
2018-02	0.27	0.24	0.16	0.35	0.29	0.26	0.24	0.17	0.28	0.19	0.29	0.18	0.23	0.24	0.32
2018-03	0.31	0.28	0.18	0.41	0.34	0.3	0.29	0.21	0.34	0.2	0.31	0.22	0.26	0.28	0.32
2018-04	0.29	0.25	0.17	0.38	0.31	0.3	0.28	0.18	0.32	0.2	0.31	0.24	0.27	0.27	0.36
2018-05	0.27	0.24	0.15	0.34	0.29	0.26	0.29	0.19	0.31	0.18	0.29	0.26	0.27	0.26	0.34
2018-06	0.25	0.22	0.12	0.27	0.24	0.22	0.27	0.17	0.28	0.15	0.25	0.24	0.24	0.23	0.33
2018-07	0.28	0.25	0.13	0.26	0.24	0.23	0.18	0.34	0.33	0.17	0.26	0.26	0.26	0.26	0.26
2018-08	0.32	0.27	0.15	0.25	0.24	0.26	0.17	0.34	0.36	0.19	0.27	0.31	0.29	0.28	0.28
2018-09	0.38	0.32	0.2	0.29	0.29	0.3	0.18	0.36	0.38	0.25	0.32	0.34	0.33	0.32	0.32
2018-10	0.4	0.35	0.23	0.34	0.32	0.32	0.17	0.37	0.4	0.27	0.37	0.32	0.35	0.34	0.34
2018-11	0.38	0.35	0.23	0.36	0.31	0.32	0.17	0.33	0.33	0.25	0.37	0.28	0.33	0.33	0.33
2018-12	0.39	0.38	0.22	0.35	0.32	0.33	0.18	0.32	0.31	0.23	0.37	0.25	0.31	0.32	0.32
2019-01	0.37	0.36	0.2	0.37	0.31	0.31	0.34	0.2	0.32	0.24	0.35	0.23	0.29	0.3	0.26
2019-02	0.33	0.3	0.18	0.36	0.29	0.28	0.31	0.15	0.32	0.2	0.32	0.2	0.26	0.27	0.28
2019-03	0.32	0.32	0.21	0.41	0.33	0.31	0.34	0.21	0.34	0.22	0.33	0.22	0.27	0.29	0.32
2019-04	0.32	0.33	0.23	0.44	0.35	0.32	0.32	0.2	0.34	0.21	0.3	0.23	0.27	0.28	0.34
2019-05	0.31	0.3	0.23	0.45	0.36	0.31	0.31	0.2	0.31	0.2	0.3	0.23	0.27	0.28	0.33
2019-06	0.3	0.25	0.21	0.36	0.31	0.31	0.28	0.17	0.28	0.22	0.27	0.24	0.25	0.27	0.32
2019-07	0.34	0.28	0.23	0.38	0.36	0.33	0.34	0.21	0.34	0.25	0.32	0.28	0.29	0.28	0.3
2019-08	0.35	0.26	0.22	0.35	0.35	0.33	0.36	0.17	0.36	0.25	0.33	0.29	0.33	0.31	0.32
2019-09	0.36	0.24	0.22	0.29	0.33	0.32	0.34	0.13	0.33	0.26	0.32	0.33	0.34	0.34	0.33
2019-10	0.36	0.23	0.2	0.27	0.31	0.32	0.29	0.11	0.3	0.27	0.31	0.35	0.31	0.33	0.32
2019-11	0.31	0.19	0.17	0.22	0.24	0.26	0.27	0.09	0.27	0.24	0.26	0.32	0.26	0.29	0.27
2019-12	0.26	0.17	0.14	0.17	0.17	0.2	0.26	0.09	0.24	0.2	0.22	0.28	0.24	0.26	0.24
2020-01	0.24	0.21	0.1	0.18	0.15	0.16	0.26	0.13	0.22	0.16	0.19	0.24	0.21	0.23	0.21
2020-02	0.27	0.29	0.11	0.27	0.21	0.18	0.31	0.18	0.29	0.16	0.22	0.24	0.19	0.21	0.22
2020-03	0.29	0.31	0.15	0.29	0.24	0.23	0.32	0.21	0.32	0.19	0.26	0.24	0.21	0.22	0.24
2020-04	0.34	0.33	0.23	0.34	0.29	0.3	0.33	0.24	0.35	0.23	0.31	0.29	0.23	0.26	0.28
2020-05	0.33	0.3	0.2	0.36	0.29	0.28	0.29	0.22	0.32	0.22	0.29	0.33	0.24	0.29	0.29
2020-06	0.4	0.33	0.24	0.41	0.34	0.36	0.36	0.28	0.36	0.31	0.36	0.33	0.26	0.3	0.32
2020-07	0.38	0.29	0.22	0.37	0.33	0.35	0.37	0.24	0.34	0.3	0.34	0.29	0.29	0.29	0.31
2020-08	0.39	0.24	0.24	0.35	0.36	0.36	0.37	0.18	0.33	0.32	0.35	0.3	0.31	0.31	0.33
2020-09	0.39	0.23	0.26	0.38	0.38	0.37	0.34	0.15	0.33	0.33	0.35	0.34	0.29	0.31	0.33
2020-10	0.36	0.18	0.24	0.36	0.31	0.32	0.29	0.11	0.3	0.31	0.32	0.34	0.26	0.3	0.31
2020-11	0.32	0.14	0.21	0.3	0.26	0.28	0.26	0.1	0.26	0.26	0.27	0.29	0.23	0.26	0.27
2020-12	0.28	0.14	0.17	0.25	0.21	0.24	0.26	0.1	0.25	0.2	0.24	0.25	0.22	0.23	0.23
2021-01	0.21	0.19	0.11	0.28	0.19	0.17	0.26	0.16	0.23	0.14	0.19	0.2	0.2	0.2	0.2
2021-02	0.21	0.27	0.11	0.31	0.21	0.19	0.28	0.21	0.27	0.14	0.21	0.17	0.18	0.18	0.19
2021-03	0.27	0.36	0.14	0.36	0.27	0.24	0.34	0.3	0.34	0.15	0.26	0.22	0.22	0.22	0.24
2021-04	0.29	0.36	0.16	0.35	0.28	0.25	0.34	0.29	0.36	0.16	0.27	0.26	0.23	0.24	0.25
2021-05	0.3	0.32	0.17	0.32	0.29	0.27	0.32	0.23	0.33	0.18	0.28	0.28	0.23	0.26	0.27
2021-06	0.31	0.31	0.16	0.31	0.29	0.27	0.34	0.25	0.34	0.19	0.28	0.3	0.24	0.26	0.27
2021-07	0.31	0.28	0.16	0.31	0.29	0.26	0.35	0.23	0.34	0.2	0.28	0.27	0.22	0.24	0.26
2021-08	0.33	0.28	0.22	0.28	0.3	0.29	0.38	0.2	0.33	0.28	0.31	0.3	0.25	0.28	0.29
2021-09	0.32	0.26	0.23	0.29	0.29	0.28	0.34	0.19	0.34	0.31	0.3	0.32	0.26	0.29	0.29
2021-10	0.34	0.27	0.25	0.31	0.29	0.3	0.32	0.18	0.31	0.32	0.31	0.33	0.26	0.29	0.3
2021-11	0.32	0.22	0.23	0.28	0.27	0.3	0.28	0.16	0.28	0.29	0.29	0.31	0.25	0.28	0.29
2021-12	0.3	0.19	0.18	0.25	0.22	0.24	0.24	0.15	0.22	0.23	0.25	0.28	0.24	0.26	0.25
2022-01	0.24	0.19	0.14	0.24	0.2	0.21	0.24	0.16	0.22	0.18	0.21	0.25	0.19	0.22	0.22
2022-02	0.22	0.2	0.13	0.27	0.22	0.2	0.25	0.17	0.23	0.15	0.21	0.21	0.16	0.18	0.19
2022-03	0.27	0.24	0.18	0.32	0.28	0.26	0.3	0.21	0.28	0.17	0.26	0.23	0.19	0.21	0.23
2022-04	0.27	0.23	0.17	0.31	0.28	0.25	0.29	0.2	0.28	0.16	0.25	0.23	0.2	0.22	0.23
2022-05	0.28	0.22	0.18	0.31	0.29	0.26	0.3	0.2	0.25	0.19	0.26	0.22	0.22	0.22	0.24
2022-06	0.29	0.24	0.18	0.32	0.3	0.27	0.31	0.22	0.27	0.18	0.27	0.23	0.23	0.23	0.25
2022-07	0.3	0.25	0.19	0.33	0.3	0.28	0.33	0.25	0.29	0.19	0.28	0.23	0.23	0.23	0.25
2022-08	0.32	0.28	0.21	0.28	0.31	0.29	0.35	0.2	0.29	0.22	0.3	0.28	0.27	0.27	0.29
2022-09															
2022-10															
2022-11															
2022-12															
